iteration,guideScore,targetScore,time,totalTime
0,-13.287365008679284,-13.122363377404328,0.079092845,0.079092845
1,-16.796163754615424,-13.122363377404328,0.031537387,0.110630232
2,-14.707051668516797,-13.122363377404328,0.029147909,0.139778141
3,-13.671688367811008,-13.122363377404328,0.03016777300000001,0.169945914
4,-14.3911045970683,-13.122363377404328,0.02398682599999999,0.19393274
5,-13.32144321528822,-13.122363377404328,0.025472509000000004,0.219405249
6,-14.088228581120125,-13.122363377404328,0.026259748,0.245664997
7,-13.919227798704446,-13.122363377404328,0.027986938000000017,0.273651935
8,-13.270474798138741,-13.122363377404328,0.022662322000000013,0.296314257
9,-17.46531819562295,-13.122363377404328,0.027525136999999977,0.323839394
10,-12.225782015399364,-13.122363377404328,0.02808461000000001,0.351924004
11,-12.855316779834837,-13.122363377404328,0.028600685999999986,0.38052469
12,-13.204604813380833,-13.122363377404328,0.022424928999999982,0.402949619
13,-13.604973362464495,-13.122363377404328,0.028200115000000026,0.431149734
14,-13.12750235570698,-13.122363377404328,0.03150251799999998,0.462652252
15,-13.1435763483762,-13.122363377404328,0.030063651999999996,0.492715904
16,-12.76272184931376,-13.122363377404328,0.024411123000000035,0.517127027
17,-13.341263831593746,-13.122363377404328,0.025803730999999996,0.542930758
18,-13.723077570322197,-13.122363377404328,0.028150029999999937,0.571080788
19,-12.342692675993241,-13.122363377404328,0.02266402200000006,0.59374481
20,-13.160011663757771,-13.122363377404328,0.025289044999999954,0.619033855
21,-13.443652866295155,-13.122363377404328,0.025833459000000003,0.644867314
22,-12.94807128564987,-13.122363377404328,0.027408205000000074,0.672275519
23,-12.982410484447247,-13.122363377404328,0.023600819999999967,0.695876339
24,-12.97061766866242,-13.122363377404328,0.02729195299999998,0.723168292
25,-13.472084632015118,-13.122363377404328,0.02660703600000003,0.749775328
26,-13.899199348152635,-13.122363377404328,0.028329128999999953,0.778104457
27,-12.963580335929564,-13.122363377404328,0.023071909999999973,0.801176367
28,-13.26919194359755,-13.122363377404328,0.02716251600000008,0.828338883
29,-12.068335575975286,-13.122363377404328,0.028450655999999963,0.856789539
30,-13.153898347041775,-13.122363377404328,0.023751014000000015,0.880540553
31,-12.35011303419662,-13.122363377404328,0.024221343000000006,0.904761896
32,-13.513738030034576,-13.122363377404328,0.026749375999999936,0.931511272
33,-12.410143780425575,-13.122363377404328,0.031292464000000075,0.962803736
34,-13.289331687530883,-13.122363377404328,0.023339785999999973,0.986143522
35,-13.463128671033106,-13.122363377404328,0.023931945000000066,1.010075467
36,-13.074546198993353,-13.122363377404328,0.027058535999999966,1.037134003
37,-13.062369474143246,-13.122363377404328,0.027117064999999885,1.064251068
38,-13.589470208897085,-13.122363377404328,0.024207174000000053,1.088458242
39,-14.560942388561815,-13.122363377404328,0.02386336999999994,1.112321612
40,-13.415721672029763,-13.122363377404328,0.026833776000000142,1.139155388
41,-12.563595916497757,-13.122363377404328,0.027810829999999953,1.166966218
42,-13.244994722294827,-13.122363377404328,0.02264039699999998,1.189606615
43,-12.829801119931055,-13.122363377404328,0.024211846999999898,1.2138184619999999
44,-12.510558835859772,-13.122363377404328,0.0279621200000002,1.241780582
45,-16.9555728596611,-13.122363377404328,0.030000454999999926,1.271781037
46,-14.454489651976253,-13.122363377404328,0.022762484000000027,1.294543521
47,-12.948122553694951,-13.122363377404328,0.024055401999999892,1.318598923
48,-12.63694127238434,-13.122363377404328,0.025622474000000173,1.344221397
49,-11.78144780215301,-13.122363377404328,0.030598531999999956,1.374819929
50,-13.08437819318032,-13.122363377404328,0.023170163000000077,1.3979900920000001
51,-11.842378006652861,-13.122363377404328,0.0248928719999999,1.422882964
52,-12.34225026907885,-13.122363377404328,0.027486734999999873,1.450369699
53,-12.293741527762444,-13.122363377404328,0.024654974000000163,1.475024673
54,-12.302351452763165,-13.122363377404328,0.02487612299999986,1.499900796
55,-12.708576646280886,-13.122363377404328,0.027441426000000213,1.5273422220000001
56,-14.381203628801897,-13.122363377404328,0.028026303999999946,1.555368526
57,-12.767910338809056,-13.122363377404328,0.023769452999999885,1.579137979
58,-12.754029710462913,-13.122363377404328,0.024254822000000065,1.603392801
59,-13.707272080184273,-13.122363377404328,0.02891614499999995,1.632308946
60,-13.04052012626964,-13.122363377404328,0.028563157000000006,1.660872103
61,-12.103195048566969,-13.122363377404328,0.026652488999999946,1.687524592
62,-12.696363088363537,-13.122363377404328,0.02286540700000006,1.710389999
63,-12.893929927129905,-13.122363377404328,0.02766070399999987,1.7380507029999999
64,-12.745471019136525,-13.122363377404328,0.02705378600000019,1.765104489
65,-13.838001204827846,-13.122363377404328,0.02527780299999982,1.7903822919999999
66,-12.20173981016589,-13.122363377404328,0.022580057000000098,1.812962349
67,-17.62992604439341,-13.122363377404328,0.028716122000000066,1.841678471
68,-12.71347747973833,-13.122363377404328,0.02821504599999991,1.869893517
69,-11.142952380855483,-13.122363377404328,0.026418748000000214,1.8963122650000002
70,-10.849943927235547,-13.122363377404328,0.02368055999999985,1.919992825
71,-15.842006051537826,-13.122363377404328,0.031277694999999994,1.95127052
72,-10.84257888214555,-13.122363377404328,0.029385714000000007,1.980656234
73,-12.954857401778728,-13.122363377404328,0.025968730999999856,2.006624965
74,-12.975695840334698,-13.122363377404328,0.022576790000000013,2.029201755
75,-12.63830809425693,-13.122363377404328,0.029724147000000034,2.058925902
76,-10.864532751441573,-13.122363377404328,0.026908732999999962,2.085834635
77,-13.189376722063844,-13.122363377404328,0.023322915000000055,2.10915755
78,-12.852211453006102,-13.122363377404328,0.027404408000000213,2.136561958
79,-12.190867895476865,-13.122363377404328,0.027042315999999733,2.163604274
80,-12.271412258672152,-13.122363377404328,0.024188786000000295,2.18779306
81,-12.251112601623774,-13.122363377404328,0.02519695199999994,2.212990012
82,-13.896696533722496,-13.122363377404328,0.02674578400000005,2.239735796
83,-12.795662867706824,-13.122363377404328,0.027181858999999697,2.266917655
84,-13.999501318104725,-13.122363377404328,0.02258406500000021,2.28950172
85,-13.98306485882959,-13.122363377404328,0.02342941899999973,2.312931139
86,-12.347189793559046,-13.122363377404328,0.028497707000000094,2.341428846
87,-12.199612911761285,-13.122363377404328,0.028116972999999934,2.369545819
88,-11.364029855693968,-13.122363377404328,0.02351591800000019,2.393061737
89,-12.476191001338744,-13.122363377404328,0.02603771900000007,2.419099456
90,-13.253373332895798,-13.122363377404328,0.02593476799999994,2.445034224
91,-13.613870868638077,-13.122363377404328,0.02911051699999989,2.474144741
92,-15.296099305723262,-13.122363377404328,0.02319321899999993,2.49733796
93,-12.774876716808373,-13.122363377404328,0.02362111500000008,2.520959075
94,-13.402172306425825,-13.122363377404328,0.02561783499999981,2.5465769099999997
95,-14.420777894997736,-13.122363377404328,0.031186437000000122,2.577763347
96,-13.104907979221892,-13.122363377404328,0.024051314000000268,2.601814661
97,-12.162427510887525,-13.122363377404328,0.025431232999999942,2.627245894
98,-12.753294747003629,-13.122363377404328,0.026744498999999866,2.653990393
99,-12.867845657575005,-13.122363377404328,0.02462925699999996,2.67861965
100,-11.8926288193779,-13.122363377404328,0.02798757800000029,2.706607228
101,-12.452961884950351,-13.122363377404328,0.025642418999999528,2.7322496469999997
102,-12.26037174468097,-13.122363377404328,0.026794428000000536,2.7590440750000003
103,-12.585869506605324,-13.122363377404328,0.027167908999999657,2.786211984
104,-12.747432451369892,-13.122363377404328,0.025311320000000137,2.811523304
105,-13.467366801085593,-13.122363377404328,0.02843259999999992,2.839955904
106,-12.734447256379026,-13.122363377404328,0.03054183900000007,2.870497743
107,-12.332039787699866,-13.122363377404328,0.02554536900000004,2.896043112
108,-11.88584396755696,-13.122363377404328,0.023018097999999654,2.9190612099999997
109,-11.381665313309089,-13.122363377404328,0.02683496800000018,2.945896178
110,-11.875586005144699,-13.122363377404328,0.028670036999999926,2.974566215
111,-12.471445920239915,-13.122363377404328,0.022832468000000272,2.997398683
112,-12.26369063801003,-13.122363377404328,0.02326781099999975,3.020666494
