iteration,guideScore,targetScore,time,totalTime
0,-13.073595554428561,-13.122363377404328,0.086253578,0.086253578
1,-13.307588623704955,-13.122363377404328,0.062081675,0.148335253
2,-13.220989747758125,-13.122363377404328,0.04931149400000001,0.197646747
3,-13.447824598356721,-13.122363377404328,0.06097595099999997,0.258622698
4,-13.345119790639021,-13.122363377404328,0.057940126000000036,0.316562824
5,-13.478701982648625,-13.122363377404328,0.058309153,0.374871977
6,-13.120366832963349,-13.122363377404328,0.05446889299999996,0.42934087
7,-13.119001544858488,-13.122363377404328,0.055485703,0.484826573
8,-12.787559442765223,-13.122363377404328,0.05722929700000001,0.54205587
9,-12.878567141211153,-13.122363377404328,0.05457548400000001,0.596631354
10,-13.169399736947863,-13.122363377404328,0.047888527000000014,0.644519881
11,-12.943803947566014,-13.122363377404328,0.053587021999999984,0.698106903
12,-12.601578610646978,-13.122363377404328,0.05167171100000001,0.749778614
13,-12.804026467309011,-13.122363377404328,0.05307305299999998,0.802851667
14,-12.443635355032118,-13.122363377404328,0.04844010799999998,0.851291775
15,-14.510914755483658,-13.122363377404328,0.05624291700000006,0.907534692
16,-12.630447559181997,-13.122363377404328,0.056114757000000015,0.963649449
17,-14.26203253249144,-13.122363377404328,0.052666729999999884,1.016316179
18,-14.87962216102846,-13.122363377404328,0.04937529600000001,1.065691475
19,-12.438899430472528,-13.122363377404328,0.048332057999999956,1.114023533
20,-13.151833956102713,-13.122363377404328,0.054179979000000156,1.168203512
21,-14.696624270209526,-13.122363377404328,0.05448910299999987,1.222692615
22,-12.362554320052704,-13.122363377404328,0.05386823400000007,1.276560849
23,-13.112630867918643,-13.122363377404328,0.05163331299999996,1.328194162
24,-13.263882540574553,-13.122363377404328,0.05376297100000005,1.381957133
25,-13.017714827138498,-13.122363377404328,0.05665884500000007,1.438615978
26,-13.647068123087465,-13.122363377404328,0.04905726299999991,1.487673241
27,-13.256740392314883,-13.122363377404328,0.050381063999999975,1.538054305
28,-12.931991391136304,-13.122363377404328,0.05315330000000018,1.5912076050000001
29,-13.862289431036412,-13.122363377404328,0.05317635899999984,1.644383964
30,-13.300985320752828,-13.122363377404328,0.05334182600000004,1.69772579
