iteration,guideScore,targetScore,time,totalTime
0,-18.146186879275454,1.6670307324904268,0.0220872,0.0220872
1,-18.377988456385314,0.6381399033795905,0.011431677000000001,0.033518877
2,-17.617185058847824,0.9467610579634862,0.009918347000000001,0.043437224
3,-18.2362322579472,1.1050998357670745,0.006865580999999996,0.050302805
4,-17.174140617686486,1.0866178475760084,0.006186749999999998,0.056489555
5,-18.046979413477978,0.28219388552236896,0.003818629000000004,0.060308184
6,-17.889169840878306,1.1710468897188804,0.007169435000000002,0.067477619
7,-18.16653650772416,1.2714102783753147,0.004394870999999995,0.07187249
8,-18.205226506578732,1.1395170931480472,0.005539723999999996,0.077412214
9,-17.49502128448411,0.2898600100377419,0.0037656210000000107,0.081177835
10,-17.496385675873135,0.6441053938472054,0.004157910000000001,0.085335745
11,-17.759204781011324,0.9609881832537432,0.002851432000000001,0.088187177
12,-17.20188066994338,0.3711038917548244,0.0033555789999999974,0.091542756
13,-17.369896805087468,1.1673381168098418,0.006063892000000001,0.097606648
14,-17.1000292211363,0.35891475365972736,0.0037016169999999904,0.101308265
15,-17.51843948949817,0.5918737788193855,0.003312212000000009,0.104620477
16,-17.21628692990978,0.4876294294300122,0.009351345999999996,0.113971823
17,-17.455584487849208,0.9929353614805864,0.005324025999999996,0.119295849
18,-18.23284525470062,1.3465166455041162,0.00708309,0.126378939
19,-17.685479712271665,1.1935999853229013,0.005300503000000012,0.131679442
20,-16.859036131097547,0.5709940595394747,0.004684947999999994,0.13636439
21,-17.53546858392148,1.013914433834237,0.005564264999999985,0.141928655
22,-18.00002972600917,0.6614050709359001,0.004818218000000013,0.146746873
23,-17.766112975038105,1.0136029969648745,0.005019494000000013,0.151766367
24,-17.012420809977588,0.43429509406365163,0.004791429999999985,0.156557797
25,-17.307526313302425,0.9716118397939131,0.005682239000000006,0.162240036
26,-17.253487219186262,0.7282722104754165,0.0071978070000000005,0.169437843
27,-17.009463314375235,0.9903306780840481,0.0046081629999999985,0.174046006
28,-17.28838727129523,0.421850646848039,0.005027047000000007,0.179073053
29,-17.314746645469057,0.39539698607932716,0.01270560599999998,0.191778659
30,-16.84824746290264,0.6513712658878299,0.0035545010000000155,0.19533316
31,-16.821501024499945,1.0219788845726083,0.003806709999999991,0.19913987
32,-16.540253721010693,0.6793351487141146,0.0031298140000000085,0.202269684
33,-17.073449019986878,0.6414195878155049,0.002618309999999985,0.204887994
34,-17.01138949406193,1.6411318720242014,0.002954716000000024,0.20784271
35,-16.428852179279186,0.17559387861361336,0.002827781999999973,0.210670492
36,-16.853338284444668,1.246628379023856,0.0026708740000000175,0.213341366
37,-16.661982054340527,0.48744945443092647,0.003625085,0.216966451
38,-16.965082985249833,0.5410421078706961,0.002710576999999992,0.219677028
39,-16.660702579384417,0.40911097695289145,0.0032599299999999942,0.222936958
40,-16.88469426965853,0.8585614879084635,0.004736281000000009,0.227673239
41,-16.72380639774558,0.7427714188492425,0.002754202000000011,0.230427441
42,-16.520916905936957,0.6824479073076799,0.002657343999999978,0.233084785
43,-16.43337503392379,0.4865414608863826,0.002748925000000013,0.23583371
44,-16.723647530781115,0.9151315458221501,0.002729217000000006,0.238562927
45,-16.55236989029587,0.23311123072296533,0.003867229,0.242430156
46,-15.93371104101925,0.31281179888531774,0.0032165289999999958,0.245646685
47,-16.091526651965456,0.5819447442221521,0.005016796000000018,0.250663481
48,-16.431139721731284,0.7707062408930723,0.0026333559999999756,0.253296837
49,-15.91755928922556,0.5001493815241034,0.002411963000000017,0.2557088
50,-15.751665434528636,1.101118675477323,0.0025962479999999677,0.258305048
51,-16.615212807389,0.374377991335331,0.002486954000000041,0.260792002
52,-15.341535637834664,-0.3697515935876525,0.003376638999999959,0.264168641
53,-15.702481398505853,-0.09044577723345082,0.003118818999999995,0.26728746
54,-16.457739446334347,1.4863870996415947,0.002483975999999999,0.269771436
55,-16.185963418265878,0.16117374676985746,0.0024981320000000418,0.272269568
56,-15.46948933439393,0.8792480149849053,0.003139171999999968,0.27540874
57,-15.9498972058985,0.34625009216254005,0.0025227190000000066,0.277931459
58,-15.782661255688899,-0.0013363872547536237,0.002511750000000035,0.280443209
59,-16.257352835929606,1.2574960609696704,0.0023494829999999856,0.282792692
60,-15.890411933039848,0.5650351656942727,0.002352048999999967,0.285144741
61,-16.157535913026067,1.2632337173984343,0.0032493849999999935,0.288394126
62,-15.581861819071486,0.6000291403929534,0.0028464850000000097,0.291240611
63,-15.597115273570179,0.4599652183473548,0.002554605000000043,0.293795216
64,-15.119813060720897,0.2973292488704177,0.0025227049999999585,0.296317921
65,-16.259128523463062,1.0015733901512742,0.005798265000000025,0.302116186
66,-16.022803899898648,0.2410759420544109,0.0032131710000000147,0.305329357
67,-15.51961091031906,0.3045064982225136,0.0025434109999999954,0.307872768
68,-15.47883169403288,1.3208993733972376,0.0025213649999999976,0.310394133
69,-15.32731436911393,0.586209424661831,0.0024081129999999895,0.312802246
70,-15.822591741812966,0.8978747226831676,0.00237322299999998,0.315175469
71,-15.53721740577229,0.5444918253150496,0.0024726620000000143,0.317648131
72,-15.412439900437125,0.8618417776704745,0.0025626220000000144,0.320210753
73,-15.933566704278386,0.8950106158618546,0.0025767509999999882,0.322787504
74,-15.35687160583428,0.7321128762439726,0.0027322650000000115,0.325519769
75,-14.86406175887771,0.7191761273735187,0.0033846750000000037,0.328904444
76,-14.54336113659267,-0.2199660882790313,0.0025652230000000054,0.331469667
77,-15.219604813180334,0.9465785594403195,0.002361924999999987,0.333831592
78,-15.120356051423528,0.6768916201893426,0.003792118000000011,0.33762371
79,-15.2333668563407,0.40770769449782573,0.003079134999999955,0.340702845
